rho,k00,k01,k02,k03,k10,k11,k12,k13,b00,b01,b02,b03,b10,b11,b12,b13,label,run_dir
0.05,0.4063826823471145,0.5880558847788107,0.10012203005788861,0.023988350775194213,0.7475494408427369,0.023585286467644864,0.04178254711984764,0.07284114436675354,1.433916456941296,3.0045185463554036,3.8309603801397363,1.366488947245047,3.1468189782764453,0.8376671888471315,1.8807054509505552,1.616700542986149,pineNeedle,sweep_results/rho_0.05/test_0717
0.05,0.4741153877196119,0.4979415696551205,0.038034596482950725,0.20202458764151296,0.6780355824070806,0.010708605575445092,0.10077483510521484,0.6745674412107868,1.2719787837219994,1.9140074176590942,2.652367257025464,0.6417977729677417,0.8443420429893899,1.2869283217441534,0.8093696356567115,4.917141186559915,pineNeedle,sweep_results/rho_0.05/test_0767
0.05,0.03689772054559235,0.5101112789022716,0.5526601010001903,0.2797219020119871,0.055363473572515094,0.045660321357814324,0.02575313155527698,0.05039471118487937,2.135490202161556,1.2496694631300758,2.185077808429831,0.687655184709998,1.5922654690490885,0.6176076110715538,0.7457625353164571,0.9100235201211156,pineNeedle,sweep_results/rho_0.05/test_0793
0.1,0.30756566605659685,0.2020287310373716,0.9104740068580776,0.9045400929165978,0.040556572018810313,0.8936911795955323,0.06840224377991228,0.32930182199351815,2.1513811635026405,1.1470999776551687,0.737975261550697,3.129693246687261,2.603951674055963,1.2354797514659308,2.5021369595840426,2.060529794147569,pineNeedle,sweep_results/rho_0.10/test_0841
0.1,0.12545567448430778,0.011670137848630526,0.061832138902974294,0.10165679116052237,0.06905227049716461,0.5406315927160243,0.029483570470444805,0.12006364219065603,2.3621692634924374,1.4122697557535053,4.682591904782239,4.711273256357012,0.9117869108465039,4.658856888489702,0.6647347774104764,0.9196417626378393,pineNeedle,sweep_results/rho_0.10/test_0848
0.1,0.02905006991241136,0.182836430351413,0.013684977119642141,0.3696561842879009,0.01018262169725322,0.058745518833286464,0.778165444766402,0.08743637300505198,2.916083892920727,2.5431016798443746,1.5362096947561978,1.6834292297653684,2.540362990335575,1.7465984267484582,1.4741412859489964,1.3251017250744623,pineNeedle,sweep_results/rho_0.10/test_0958
0.1,0.06307525733579393,0.012715066907007468,0.33467288873713363,0.2076932568763049,0.08008072802931171,0.0837573535217624,0.014027874040667042,0.09545157577133558,3.0189222236915714,3.223856973263068,0.8314869391758183,5.000233138888642,1.48641918476812,1.5141951562463252,0.7261797304530053,4.359443835749376,pineNeedle,sweep_results/rho_0.10/test_1035
0.1,0.025977011724805467,0.873986427255392,0.04771351599306144,0.167123523120703,0.2982846521138195,0.012617087810166856,0.08433581960075812,0.02262925243522957,3.1284891729863844,2.8968598704895943,2.3952534590400814,0.7704873704317082,0.9891466488686782,1.661981177209383,0.8347981013215252,2.5335371970620844,pineNeedle,sweep_results/rho_0.10/test_1254
0.1,0.04358398576995731,0.018074723623659826,0.7215500377125895,0.24170819640109367,0.18914978065136448,0.9143931170191328,0.2095380354955876,0.025362913757470597,2.9051306335274183,2.4848688032212416,1.2917459694247209,0.9726781784978873,0.5030213652897925,1.2652245600238106,0.513282557433828,2.8736806684604237,pineNeedle,sweep_results/rho_0.10/test_1295
0.1,0.4268659867604032,0.0299397392417709,0.018003188539243476,0.018310049256341027,0.017409085522751312,0.4303238790485693,0.5928261452767004,0.09329040693169784,2.166737024941534,3.762362455749285,3.255010841553068,3.847051860258639,2.68724268838134,0.6544064196736454,1.0781483604526398,2.705219177216699,pineNeedle,sweep_results/rho_0.10/test_1333
